Isolate Name	GISAID Accession	Site	Clade	No. of Reads	IAV Reads	PCR Ct	Collection Date
A/Kenya/Kilifi/151/2014_27-May-2014	EPI_ISL_426177	Kilifi	6B	"504,501"	"24,404"	30.05	27/05/2014
A/Kenya/Kilifi/153/2014_19-Jun-2014	EPI_ISL_426178	Kilifi	6B	"645,749"	"424,306"	31.67	19/06/2014
A/Kenya/Kilifi/001/2018_12-Mar-2018	EPI_ISL_426329	Kilifi	6B.1A	"304,202"	"294,730"	24	12/03/2018
A/Kenya/Kilifi/002/2018_24-Mar-2018	EPI_ISL_426330	Kilifi	6B.1A	"307,214"	"255,618"	29	24/03/2018
A/Kenya/Kilifi/003/2018_26-Mar-2018	EPI_ISL_426331	Kilifi	6B.1A	"500,713"	"429,745"	29	26/03/2018
A/Kenya/Kilifi/004/2018_13-Apr-2018	EPI_ISL_426332	Kilifi	6B.1A	"356,989"	"131,635"	29	13/04/2018
A/Kenya/Kilifi/005/2018_14-Apr-2018	EPI_ISL_426333	Kilifi	6B.1A	"642,691"	"626,636"	28	14/04/2018
A/Kenya/Kilifi/007/2018_24-May-2018	EPI_ISL_426334	Kilifi	6B.1A	"806,889"	"758,634"	24	24/05/2018
A/Kenya/Kilifi/008/2018_30-Jun-2018	EPI_ISL_426335	Kilifi	6B.1A	"685,440"	"672,524"	25	30/06/2018
A/Kenya/Kilifi/009/2018_08-Jul-2018	EPI_ISL_426336	Kilifi	6B.1A	"256,841"	"247,577"	25	08/07/2018
A/Kenya/Kilifi/010/2018_17-Jul-2018	EPI_ISL_426337	Kilifi	6B.1A	"278,113"	"97,139"	34	17/07/2018
A/Kenya/CDC-Mombasa/002/2018_16-Apr-2018	EPI_ISL_429838 	Mombasa	6B.1A	"365,933"	"268,588"	29.1	16/04/2018
A/Kenya/CDC-Mombasa/003/2018_16-Apr-2018	EPI_ISL_429839	Mombasa	6B.1A	"238,363"	"152,998"	27.6	16/04/2018
A/Kenya/CDC-Mombasa/005/2018_13-Aug-2018	EPI_ISL_429840 	Mombasa	6B.1A	"91,463"	"28,413"	26.53	13/08/2018
A/Kenya/CDC-Mombasa/008/2018_29-May-2018	EPI_ISL_429841 	Mombasa	6B.1A	"116,618"	"17,889"	32.56	29/05/2018
A/Kenya/CDC-Mombasa/009/2018_10-Jul-2018	EPI_ISL_429842	Mombasa	6B.1A	"232,086"	"7,852"	29.53	10/07/2018
A/Kenya/CDC-Kakamega/001/2009_20-Aug-2009	EPI_ISL_426338	Kakamega	7	"389,432"	"362,682"	21.8	20/08/2009
A/Kenya/CDC-Kakamega/002/2009_21-Sep-2009	EPI_ISL_426339	Kakamega	7	"292,111"	"102,495"	25.24	21/09/2009
A/Kenya/CDC-Kakamega/003/2009_21-Sep-2009	EPI_ISL_426340	Kakamega	7	"398,530"	"376,771"	35.84	21/09/2009
A/Kenya/CDC-Kakamega/004/2009_21-Sep-2009	EPI_ISL_426341	Kakamega	7	"362,863"	"319,140"	21.54	21/09/2009
A/Kenya/CDC-Kakamega/005/2009_27-Oct-2009	EPI_ISL_426342	Kakamega	7	"401,755"	"371,725"	18.3	27/10/2009
A/Kenya/CDC-Kakamega/006/2009_07-Sep-2009	EPI_ISL_426343	Kakamega	7	"416,971"	"393,168"	20.75	07/09/2009
A/Kenya/CDC-Kakamega/007/2009_21-Sep-2009	EPI_ISL_426344	Kakamega	7	"369,029"	"214,113"	23.22	21/09/2009
A/Kenya/CDC-Kakamega/008/2009_21-Sep-2009	EPI_ISL_426345	Kakamega	7	"418,683"	"380,595"	20	21/09/2009
A/Kenya/CDC-Kakamega/009/2009_21-Sep-2009	EPI_ISL_426346	Kakamega	7	"359,524"	"239,692"	29.35	21/09/2009
A/Kenya/CDC-Kakamega/010/2009_21-Sep-2009	EPI_ISL_426347	Kakamega	7	"273,384"	"255,038"	21.86	21/09/2009
A/Kenya/CDC-Kakamega/011/2009_21-Sep-2009	EPI_ISL_426348	Kakamega	7	"169,321"	"135,974"	25.08	21/09/2009
A/Kenya/CDC-Kakamega/012/2009_11-Nov-2009	EPI_ISL_426349	Kakamega	7	"259,304"	"223,602"	22	11/11/2009
A/Kenya/CDC-Kakamega/013/2009_09-Oct-2009	EPI_ISL_426350	Kakamega	7	"239,758"	"160,794"	20.98	09/10/2009
A/Kenya/CDC-Kakamega/018/2009_22-Oct-2009	EPI_ISL_426351	Kakamega	7	"245,738"	"233,259"	20	22/10/2009
A/Kenya/CDC-Kakamega/019/2009_22-Oct-2009	EPI_ISL_426352	Kakamega	7	"336,502"	"302,637"	21	22/10/2009
A/Kenya/CDC-Kakamega/022/2009_04-Nov-2009	EPI_ISL_426353	Kakamega	7	"316,845"	"195,410"	20.6	04/11/2009
A/Kenya/CDC-Kakamega/025/2009_10-Nov-2009	EPI_ISL_426354	Kakamega	7	"386,000"	"111,846"	23.53	10/11/2009
A/Kenya/CDC-Kakamega/026/2009_30-Oct-2009	EPI_ISL_426355	Kakamega	7	"388,093"	"353,408"	23.14	30/10/2009
A/Kenya/CDC-Kakamega/030/2010_08-Dec-2010	EPI_ISL_426486	Kakamega	6	"199,391"	"98,009"	21.11	08/12/2010
A/Kenya/CDC-Kakamega/031/2010_29-Nov-2010	EPI_ISL_426487	Kakamega	6	"213,127"	"185,147"	22.75	29/11/2010
A/Kenya/CDC-Kakamega/033/2011_17-Feb-2011	EPI_ISL_426488	Kakamega	6	"462,944"	"394,470"	23.05	17/02/2011
A/Kenya/CDC-Kakamega/034/2011_21-Feb-2011	EPI_ISL_426489	Kakamega	6	"361,977"	"294,698"	20.83	21/02/2011
A/Kenya/CDC-Kakamega/036/2011_24-Feb-2011	EPI_ISL_426490	Kakamega	6	"484,795"	"147,591"	28.77	24/02/2011
A/Kenya/CDC-Kakamega/037/2011_24-Feb-2011	EPI_ISL_426491	Kakamega	6	"403,695"	"374,222"	23.14	24/02/2011
A/Kenya/CDC-Kakamega/038/2011_25-Feb-2011	EPI_ISL_426492	Kakamega	6	"384,397"	"364,242"	20.58	25/02/2011
A/Kenya/CDC-Kakamega/039/2011_28-Feb-2011	EPI_ISL_426493	Kakamega	6	"269,901"	"9,872"	32.05	28/02/2011
A/Kenya/CDC-Kakamega/040/2011_01-Mar-2011	EPI_ISL_426494	Kakamega	6	"324,077"	"312,399"	18.56	01/03/2011
A/Kenya/CDC-Kakamega/042/2011_03-Mar-2011	EPI_ISL_426570	Kakamega	6	"329,934"	"305,769"	18.42	03/03/2011
A/Kenya/CDC-Kakamega/043/2011_04-Mar-2011	EPI_ISL_426571	Kakamega	6	"342,351"	"329,426"	17.26	04/03/2011
A/Kenya/CDC-Kakamega/044/2011_07-Mar-2011	EPI_ISL_426572	Kakamega	6	"424,142"	"157,680"	25.31	07/03/2011
A/Kenya/CDC-Kakamega/045/2011_08-Mar-2011	EPI_ISL_426573	Kakamega	6	"456,243"	"422,644"	23.09	08/03/2011
A/Kenya/CDC-Kakamega/046/2011_08-Mar-2011	EPI_ISL_426574	Kakamega	6	"396,884"	"371,515"	21.36	08/03/2011
A/Kenya/CDC-Kakamega/047/2011_14-Mar-2011	EPI_ISL_426575	Kakamega	6	"348,177"	"320,253"	20.87	14/03/2011
A/Kenya/CDC-Kakamega/050/2011_25-Mar-2011	EPI_ISL_426576	Kakamega	6	"388,372"	"357,204"	24.06	25/03/2011
A/Kenya/CDC-Kakamega/051/2011_26-Aug-2011	EPI_ISL_426577	Kakamega	6	"440,336"	"377,618"	22.89	26/08/2011
A/Kenya/CDC-Kakamega/052/2011_06-Sep-2011	EPI_ISL_426578	Kakamega	6	"386,323"	"148,215"	27.03	06/09/2011
A/Kenya/CDC-Kakamega/053/2011_01-Nov-2011	EPI_ISL_426579	Kakamega	6	"380,427"	"61,460"	24.6	01/11/2011
A/Kenya/CDC-Kakamega/055/2014_04-Feb-2014	EPI_ISL_427399	Kakamega	6B	"377,441"	"236,326"	20.77	04/02/2014
A/Kenya/CDC-Kakamega/056/2014_18-Mar-2014	EPI_ISL_427400	Kakamega	6B	"403,934"	"330,681"	24.2	18/03/2014
A/Kenya/CDC-Kakamega/057/2014_31-Mar-2014	EPI_ISL_427401	Kakamega	6B	"353,325"	"313,273"	25.8	31/03/2014
A/Kenya/CDC-Kakamega/060/2014_09-Jul-2014	EPI_ISL_427402	Kakamega	6B	"366,009"	"337,683"	21.47	09/07/2014
A/Kenya/CDC-Kakamega/061/2014_05-Aug-2014	EPI_ISL_427403	Kakamega	6B	"324,506"	"60,360"	29.86	05/08/2014
A/Kenya/CDC-Kakamega/062/2014_22-Sep-2014	EPI_ISL_427413	Kakamega	6B	"341,420"	"316,186"	29.09	22/09/2014
A/Kenya/CDC-Kakamega/063/2014_24-Sep-2014	EPI_ISL_427421	Kakamega	6B	"332,068"	"276,821"	20.37	24/09/2014
A/Kenya/CDC-Kakamega/064/2014_05-Nov-2014	EPI_ISL_427422	Kakamega	6B	"360,160"	"201,660"	28.06	05/11/2014
A/Kenya/CDC-Kakamega/065/2014_17-Nov-2014	EPI_ISL_427423	Kakamega	6B	"318,934"	"299,051"	21.4	17/11/2014
A/Kenya/CDC-Kakamega/066/2015_07-Apr-2015	EPI_ISL_427424	Kakamega	6B.1	"403,221"	"382,165"	26.4	07/04/2015
A/Kenya/CDC-Kakamega/067/2016_18-Apr-2016	EPI_ISL_427425	Kakamega	6B.1	"596,766"	"348,068"	26.4	18/04/2016
A/Kenya/CDC-Kakamega/068/2016_11-Jul-2016	EPI_ISL_427426	Kakamega	6B.1	"472,521"	"412,151"	27.1	11/07/2016
A/Kenya/CDC-Kakamega/069/2016_19-Jul-2016	EPI_ISL_427463	Kakamega	6B.1	"534,955"	"514,525"	34.4	19/07/2016
A/Kenya/CDC-Kakamega/070/2016_25-Jul-2016	EPI_ISL_427464	Kakamega	6B.1	"367,029"	"243,584"	25.7	25/07/2016
A/Kenya/CDC-Kakamega/071/2016_10-Aug-2016	EPI_ISL_427465	Kakamega	6B.1	"437,013"	"415,491"	22.1	10/08/2016
A/Kenya/CDC-Kakamega/072/2016_22-Aug-2016	EPI_ISL_427466	Kakamega	6B.1	"253,195"	"112,244"	26.9	22/08/2016
A/Kenya/CDC-Kakamega/073/2016_22-Aug-2016	EPI_ISL_427467	Kakamega	6B.1	"198,922"	"173,057"	18.9	22/08/2016
A/Kenya/CDC-Kakamega/075/2010_29-Nov-2010	EPI_ISL_427468	Kakamega	6	"244,806"	"194,947"	17.11	29/11/2010
A/Kenya/CDC-Kakamega/076/2010_16-Dec-2010	EPI_ISL_427522	Kakamega	7	"379,381"	"186,375"	23.86	16/12/2010
A/Kenya/CDC-Kakamega/077/2010_04-Nov-2010	EPI_ISL_427523	Kakamega	6	"155,754"	"101,659"	20.29	04/11/2010
A/Kenya/CDC-Kakamega/001/2018_04-Apr-2018	EPI_ISL_428406	Kakamega	6B.1A	"514,088"	"371,044"	22.27	04/04/2018
A/Kenya/CDC-Kakamega/002/2018_27-Aug-2018	EPI_ISL_428407	Kakamega	6B.1A	"326,275"	"196,839"	27.16	27/08/2018
A/Kenya/CDC-Kakamega/003/2018_01-Aug-2018	EPI_ISL_428408	Kakamega	6B.1A	"354,069"	"112,377"	32.66	01/08/2018
A/Kenya/CDC-Kakamega/004/2018_30-Jul-2018	EPI_ISL_428409	Kakamega	6B.1A	"427,916"	"134,909"	28.75	30/07/2018
A/Kenya/CDC-Kakamega/005/2018_30-Jul-2018	EPI_ISL_428410	Kakamega	6B.1A	"411,686"	"309,308"	29.18	30/07/2018
A/Kenya/CDC-Kakamega/006/2018_27-Mar-2018	EPI_ISL_428411	Kakamega	6B.1A	"479,623"	"355,621"	24.08	27/03/2018
A/Kenya/CDC-Kakamega/007/2018_12-Jun-2018	EPI_ISL_428412	Kakamega	6B.1A	"589,366"	"154,895"	22.34	12/06/2018
A/Kenya/CDC-Kakamega/008/2018_26-Jun-2018	EPI_ISL_428413	Kakamega	6B.1A	"381,724"	"1,143"	30.16	26/06/2018
A/Kenya/CDC-Kakamega/009/2018_29-May-2018	EPI_ISL_428414	Kakamega	6B.1A	"470,390"	"135,158"	32.6	29/05/2018
A/Kenya/CDC-Kakamega/010/2018_16-Jul-2018	EPI_ISL_428415	Kakamega	6B.1A	"352,581"	"268,409"	23.42	16/07/2018
A/Kenya/CDC-Kakamega/014/2018_16-Jul-2018	EPI_ISL_428416	Kakamega	6B.1A	"299,782"	"51,368"	28.23	16/07/2018
A/Kenya/CDC-Kakamega/015/2018_24-Jul-2018	EPI_ISL_428417	Kakamega	6B.1A	"163,080"	"95,491"	29.17	24/07/2018
A/Kenya/CDC-Kakamega/017/2018_03-Jul-2018	EPI_ISL_428418	Kakamega	6B.1A	"384,768"	"207,379"	22.85	03/07/2018
A/Kenya/CDC-Kakamega/018/2018_03-Jul-2018	EPI_ISL_428419	Kakamega	6B.1A	"328,555"	"220,877"	24.98	03/07/2018
A/Kenya/CDC-KNH/001/2009_10-Jul-2009	EPI_ISL_420557	Nairobi	7	"356,713"	"203,327"	23.47	10/07/2009
A/Kenya/CDC-KNH/002/2009_23-Jul-2009	EPI_ISL_420558	Nairobi	7	"307,112"	"264,747"	16.4	23/07/2009
A/Kenya/CDC-KNH/003/2009_29-Jul-2009	EPI_ISL_420559	Nairobi	7	"279,794"	"250,552"	17.1	29/07/2009
A/Kenya/CDC-KNH/004/2009_11-Aug-2009	EPI_ISL_420560	Nairobi	7	"355,997"	"138,759"	27.9	11/08/2009
A/Kenya/CDC-KNH/006/2009_12-Oct-2009	EPI_ISL_420561	Nairobi	7	"512,867"	"477,635"	20.19	12/10/2009
A/Kenya/CDC-KNH/009/2009_03-Nov-2009	EPI_ISL_420562	Nairobi	7	"413,095"	"237,635"	21.19	03/11/2009
A/Kenya/CDC-KNH/011/2009_25-Nov-2009	EPI_ISL_420593	Nairobi	7	"510,128"	"401,176"	24.44	25/11/2009
A/Kenya/CDC-KNH/012/2009_27-Nov-2009	EPI_ISL_420594	Nairobi	7	"459,359"	"150,578"	27.48	27/11/2009
A/Kenya/CDC-KNH/013/2009_30-Nov-2009	EPI_ISL_420595	Nairobi	7	"262,594"	"112,063"	26.39	30/11/2009
A/Kenya/CDC-KNH/014/2009_02-Dec-2009	EPI_ISL_420596	Nairobi	7	"376,127"	"346,849"	17.76	02/12/2009
A/Kenya/CDC-KNH/021/2010_09-Nov-2010	EPI_ISL_420597	Nairobi	6	"329,325"	"272,269"	27.21	09/11/2010
A/Kenya/CDC-KNH/022/2010_10-Nov-2010	EPI_ISL_420601	Nairobi	6	"272,030"	"162,259"	25.49	10/11/2010
A/Kenya/CDC-KNH/023/2010_10-Nov-2010	EPI_ISL_420602	Nairobi	6	"327,253"	"290,985"	22.41	10/11/2010
A/Kenya/CDC-KNH/024/2010_11-Nov-2010	EPI_ISL_420603	Nairobi	6	"281,273"	"172,972"	20.5	11/11/2010
A/Kenya/CDC-KNH/025/2010_17-Nov-2010	EPI_ISL_420626	Nairobi	7	"239,229"	"18,423"	29	17/11/2010
A/Kenya/CDC-KNH/026/2010_17-Nov-2010	EPI_ISL_420627	Nairobi	7	"231,176"	"122,567"	28.03	17/11/2010
A/Kenya/CDC-KNH/028/2010_23-Nov-2010	EPI_ISL_420778	Nairobi	6	"293,572"	"34,469"	27.55	23/11/2010
A/Kenya/CDC-KNH/029/2010_23-Nov-2010	EPI_ISL_420779	Nairobi	6	"249,235"	"200,995"	23.85	23/11/2010
A/Kenya/CDC-KNH/030/2010_29-Nov-2010	EPI_ISL_420780	Nairobi	6	"428,048"	"96,991"	26.88	29/11/2010
A/Kenya/CDC-KNH/031/2010_30-Nov-2010	EPI_ISL_420781	Nairobi	6	"205,607"	"158,004"	21.76	30/11/2010
A/Kenya/CDC-KNH/032/2010_07-Dec-2010	EPI_ISL_420782	Nairobi	6	"272,638"	"237,512"	39.7	07/12/2010
A/Kenya/CDC-KNH/033/2010_10-Dec-2010	EPI_ISL_420783	Nairobi	6	"353,662"	"246,376"	27.31	10/12/2010
A/Kenya/CDC-KNH/034/2011_14-Mar-2011	EPI_ISL_420826	Nairobi	6	"423,169"	"148,427"	27	14/03/2011
A/Kenya/CDC-KNH/035/2011_21-Feb-2011	EPI_ISL_420827	Nairobi	6	"305,802"	"162,181"	21.95	21/02/2011
A/Kenya/CDC-KNH/038/2011_23-Feb-2011	EPI_ISL_420828	Nairobi	6	"295,100"	"107,609"	19.52	23/02/2011
A/Kenya/CDC-KNH/040/2011_23-May-2011	EPI_ISL_420829	Nairobi	6	"281,968"	"48,074"	24.04	23/05/2011
A/Kenya/CDC-KNH/043/2011_23-Jun-2011	EPI_ISL_420830	Nairobi	6	"271,642"	"211,103"	21.07	23/06/2011
A/Kenya/CDC-KNH/044/2011_29-Jun-2011	EPI_ISL_420831	Nairobi	6	"232,122"	"131,817"	22.05	29/06/2011
A/Kenya/CDC-KNH/045/2011_29-Jun-2011	EPI_ISL_420832	Nairobi	6	"321,517"	"258,677"	22.38	29/06/2011
A/Kenya/CDC-KNH/046/2011_05-Jul-2011	EPI_ISL_420833	Nairobi	6	"601,661"	"529,348"	23.04	05/07/2011
A/Kenya/CDC-KNH/047/2011_07-Jul-2011	EPI_ISL_420834	Nairobi	6	"314,224"	"138,817"	22.72	07/07/2011
A/Kenya/CDC-KNH/048/2011_08-Jul-2011	EPI_ISL_420835	Nairobi	6	"370,051"	"347,452"	21.91	08/07/2011
A/Kenya/CDC-KNH/049/2011_11-Jul-2011	EPI_ISL_420836	Nairobi	6	"256,284"	"89,658"	23.55	11/07/2011
A/Kenya/CDC-KNH/050/2011_12-Jul-2011	EPI_ISL_420837	Nairobi	6	"297,063"	"191,273"	23.55	12/07/2011
A/Kenya/CDC-KNH/051/2011_12-Jul-2011	EPI_ISL_420880	Nairobi	6	"215,010"	"75,746"	26.16	12/07/2011
A/Kenya/CDC-KNH/052/2011_14-Jul-2011	EPI_ISL_420881	Nairobi	6	"271,297"	"236,004"	22.87	14/07/2011
A/Kenya/CDC-KNH/053/2011_14-Jul-2011	EPI_ISL_420882	Nairobi	6	"302,890"	"191,905"	25.45	14/07/2011
A/Kenya/CDC-KNH/054/2011_14-Jul-2011	EPI_ISL_421216	Nairobi	6	"327,353"	"283,127"	20.97	14/07/2011
A/Kenya/CDC-KNH/055/2011_19-Jul-2011	EPI_ISL_421217	Nairobi	6	"324,232"	"303,460"	20.08	19/07/2011
A/Kenya/CDC-KNH/056/2011_21-Jul-2011	EPI_ISL_421218	Nairobi	6	"292,784"	"255,909"	25.27	21/07/2011
A/Kenya/CDC-KNH/057/2011_22-Jul-2011	EPI_ISL_421219	Nairobi	6	"327,137"	"300,731"	23.54	22/07/2011
A/Kenya/CDC-KNH/058/2011_22-Jul-2011	EPI_ISL_421220	Nairobi	6	"273,532"	"214,309"	23.92	22/07/2011
A/Kenya/CDC-KNH/061/2011_05-Aug-2011	EPI_ISL_421255	Nairobi	6	"248,738"	"133,214"	25.46	05/08/2011
A/Kenya/CDC-KNH/062/2011_08-Aug-2011	EPI_ISL_421263	Nairobi	6	"302,353"	"199,603"	25.3	08/08/2011
A/Kenya/CDC-KNH/063/2011_10-Aug-2011	EPI_ISL_421265	Nairobi	6	"294,700"	"220,301"	27.18	10/08/2011
A/Kenya/CDC-KNH/065/2011_01-Sep-2011	EPI_ISL_421266	Nairobi	6	"215,341"	"162,201"	22.27	01/09/2011
A/Kenya/CDC-KNH/066/2011_12-Oct-2011	EPI_ISL_421270	Nairobi	7	"247,941"	"11,900"	32.02	12/10/2011
A/Kenya/CDC-KNH/067/2011_19-Oct-2011	EPI_ISL_421271	Nairobi	7	"214,945"	"6,036"	29.23	19/10/2011
A/Kenya/CDC-KNH/070/2014_12-Feb-2014	EPI_ISL_421274	Nairobi	6B	"425,136"	"407,057"	25.72	12/02/2014
A/Kenya/CDC-KNH/071/2014_27-Feb-2014	EPI_ISL_421276	Nairobi	6B	"372,750"	"339,494"	24.81	27/02/2014
A/Kenya/CDC-KNH/080/2015_16-Jul-2015	EPI_ISL_421278	Nairobi	6B.1	"209,728"	"153,253"	20.88	16/07/2015
A/Kenya/CDC-KNH/081/2015_21-Jul-2015	EPI_ISL_421277	Nairobi	6B.1	"266,668"	"60,902"	25.69	21/07/2015
A/Kenya/CDC-KNH/084/2015_05-Aug-2015	EPI_ISL_421280	Nairobi	6B.1	"208,305"	"51,388"	24.55	05/08/2015
A/Kenya/CDC-KNH/085/2015_11-Aug-2015	EPI_ISL_421282	Nairobi	6B.1	"234,582"	"96,796"	24.17	11/08/2015
A/Kenya/CDC-KNH/088/2015_03-Sep-2015	EPI_ISL_421337	Nairobi	6B.1	"292,273"	"261,866"	21.08	03/09/2015
A/Kenya/CDC-KNH/089/2016_04-Jul-2016	EPI_ISL_421344	Nairobi	6B.1	"246,192"	"57,212"	21.94	04/07/2016
A/Kenya/CDC-KNH/002/2018_22-Jan-2018	EPI_ISL_421436	Nairobi	6B.1A	"497,508"	"372,878"	23	22/01/2018
A/Kenya/CDC-KNH/004/2018_20-Feb-2018	EPI_ISL_421437	Nairobi	6B.1A	"487,180"	"245,593"	27.3	20/02/2018
A/Kenya/CDC-KNH/005/2018_19-Feb-2018	EPI_ISL_421438	Nairobi	6B.1A1	"341,749"	"79,956"	29.2	19/02/2018
A/Kenya/CDC-KNH/008/2018_26-Feb-2018	EPI_ISL_421439	Nairobi	6B.1A	"366,823"	"244,725"	24.6	26/02/2018
A/Kenya/CDC-KNH/009/2018_19-Mar-2018	EPI_ISL_421440	Nairobi	6B.1A	"289,682"	"185,392"	24.01	19/03/2018
A/Kenya/CDC-KNH/010/2018_17-Apr-2018	EPI_ISL_421441	Nairobi	6B.1A1	"267,659"	"195,654"	20.7	17/04/2018
A/Kenya/CDC-KNH/011/2018_20-Mar-2018	EPI_ISL_421442	Nairobi	6B.1A	"602,558"	"251,805"	29.2	20/03/2018
A/Kenya/CDC-KNH/014/2018_04-Apr-2018	EPI_ISL_421443	Nairobi	6B.1A	"271,997"	"191,486"	23.41	04/04/2018
A/Kenya/CDC-KNH/015/2018_04-Apr-2018	EPI_ISL_421444	Nairobi	6B.1A	"329,256"	"162,570"	28.57	04/04/2018
A/Kenya/CDC-KNH/016/2018_10-Apr-2018	EPI_ISL_421445	Nairobi	6B.1A	"183,133"	"73,945"	24.4	10/04/2018
A/Kenya/CDC-Nakuru/004/2011_02-Nov-2011	EPI_ISL_421522	Nakuru	7	"383,458"	"234,498"	27.7	02/11/2011
A/Kenya/CDC-Nakuru/005/2012_20-Mar-2012	EPI_ISL_421523	Nakuru	7	"510,935"	"408,606"	21.77	20/03/2012
A/Kenya/CDC-Nakuru/009/2013_22-Jan-2013	EPI_ISL_421524	Nakuru	6C	"242,999"	"69,076"	27.31	22/01/2013
A/Kenya/CDC-Nakuru/010/2013_25-Mar-2013	EPI_ISL_421525	Nakuru	6C	"380,142"	"163,960"	21.65	25/03/2013
A/Kenya/CDC-Nakuru/011/2013_27-Mar-2013	EPI_ISL_421526	Nakuru	6C	"312,634"	"115,301"	25.2	27/03/2013
A/Kenya/CDC-Nakuru/012/2014_22-Jan-2014	EPI_ISL_421527	Nakuru	6C	"294,204"	"38,310"	23.77	22/01/2014
A/Kenya/CDC-Nakuru/013/2014_17-Mar-2014	EPI_ISL_421528	Nakuru	6B	"416,492"	"242,552"	21.44	17/03/2014
A/Kenya/CDC-Nakuru/014/2014_24-Mar-2014	EPI_ISL_421529	Nakuru	6B	"222,722"	"164,302"	22.5	24/03/2014
A/Kenya/CDC-Nakuru/016/2014_08-Apr-2014	EPI_ISL_421530	Nakuru	6B	"255,510"	"207,152"	17.3	08/04/2014
A/Kenya/CDC-Nakuru/017/2014_15-Apr-2014	EPI_ISL_421532	Nakuru	6B	"444,216"	"302,230"	17.3	15/04/2014
